geographyid,region,date,monthsofsupply,mediansaleprice
23460,"Gadsden, AL",2014-05-01,4.3,100000
42460,"Scottsboro, AL",2014-05-01,3.2,112000
22840,"Fort Payne, AL",2015-01-01,6.0,95000
45180,"Talladega, AL",2016-03-01,9.4,126000
13820,"Birmingham, AL",2016-06-01,4.3,195000
19460,"Decatur, AL",2016-08-01,3.6,128000
11500,"Anniston, AL",2016-10-01,6.4,115000
10760,"Alexander City, AL",2017-02-01,5.5,91000
10700,"Albertville, AL",2017-06-01,4.2,110000
45180,"Talladega, AL",2017-09-01,8.0,170000
19460,"Decatur, AL",2018-02-01,5.2,126000
23460,"Gadsden, AL",2018-05-01,4.3,135000
13820,"Birmingham, AL",2018-06-01,3.3,213000
22840,"Fort Payne, AL",2018-06-01,4.3,127000
42460,"Scottsboro, AL",2018-06-01,3.9,146000
10700,"Albertville, AL",2018-07-01,3.2,141000
45180,"Talladega, AL",2018-07-01,5.5,148000
10760,"Alexander City, AL",2019-03-01,13.0,155000
42460,"Scottsboro, AL",2019-04-01,5.3,170000
11500,"Anniston, AL",2019-09-01,4.9,115000
19460,"Decatur, AL",2019-12-01,2.4,147000
22840,"Fort Payne, AL",2019-12-01,7.1,150000
26620,"Huntsville, AL",2020-03-01,2.3,239000
42460,"Scottsboro, AL",2020-08-01,3.4,150000
42620,"Searcy, AR",2012-09-01,3.9,135000
38220,"Pine Bluff, AR",2012-10-01,4.4,115000
12900,"Batesville, AR",2013-02-01,45.3,100000
42620,"Searcy, AR",2013-06-01,7.6,122000
31680,"Malvern, AR",2013-07-01,11.7,92000
26300,"Hot Springs, AR",2013-11-01,14.0,148000
30780,"Little Rock, AR",2014-01-01,8.5,134000
21820,"Fairbanks, AK",2012-10-01,5.6,229000
11260,"Anchorage, AK",2014-02-01,7.5,255000
11260,"Anchorage, AK",2018-02-01,8.0,287000
21820,"Fairbanks, AK",2018-06-01,5.3,233000
21820,"Fairbanks, AK",2018-09-01,5.4,256000
22840,"Fort Payne, AL",2012-05-01,4.0,70000
23460,"Gadsden, AL",2012-07-01,4.5,103000
22840,"Fort Payne, AL",2012-10-01,5.9,84000
13820,"Birmingham, AL",2013-07-01,3.6,184000
26620,"Huntsville, AL",2013-12-01,4.7,179000
42460,"Scottsboro, AL",2013-12-01,4.9,88000
13820,"Birmingham, AL",2014-04-01,4.1,160000
19460,"Decatur, AL",2014-09-01,4.8,140000
19460,"Decatur, AL",2016-01-01,6.3,112000
26620,"Huntsville, AL",2016-02-01,5.0,161000
19460,"Decatur, AL",2016-06-01,4.2,136000
23460,"Gadsden, AL",2016-10-01,4.7,114000
45180,"Talladega, AL",2017-02-01,9.5,135000
11500,"Anniston, AL",2017-09-01,5.1,125000
23460,"Gadsden, AL",2018-10-01,5.3,111000
42460,"Scottsboro, AL",2018-10-01,7.2,108000
10700,"Albertville, AL",2019-03-01,4.8,151000
23460,"Gadsden, AL",2020-01-01,6.7,145000
45180,"Talladega, AL",2020-06-01,3.0,147000
42620,"Searcy, AR",2012-02-01,5.1,121000
12900,"Batesville, AR",2012-07-01,55.0,115000
12900,"Batesville, AR",2014-11-01,17.9,119000
38220,"Pine Bluff, AR",2014-11-01,10.1,69000
12900,"Batesville, AR",2017-02-01,14.2,60000
26300,"Hot Springs, AR",2018-02-01,6.6,155000
31680,"Malvern, AR",2018-03-01,5.1,99000
42620,"Searcy, AR",2018-06-01,4.8,128000
12900,"Batesville, AR",2018-11-01,5.5,93000
26300,"Hot Springs, AR",2019-06-01,4.1,179000
43320,"Show Low, AZ",2013-07-01,6.8,145000
38060,"Phoenix, AZ",2015-04-01,2.9,205000
22380,"Flagstaff, AZ",2015-10-01,4.5,310000
46060,"Tucson, AZ",2016-09-01,3.8,177000
43320,"Show Low, AZ",2016-12-01,4.9,185000
46060,"Tucson, AZ",2018-11-01,3.6,218000
38060,"Phoenix, AZ",2020-01-01,2.4,295000
22380,"Flagstaff, AZ",2020-08-01,0.9,430000
38060,"Phoenix, AZ",2020-08-01,1.5,330000
43320,"Show Low, AZ",2020-09-01,1.2,289000
11260,"Anchorage, AK",2012-08-01,5.1,254000
11260,"Anchorage, AK",2013-09-01,5.3,268000
21820,"Fairbanks, AK",2014-03-01,5.9,230000
21820,"Fairbanks, AK",2014-12-01,5.3,220000
21820,"Fairbanks, AK",2015-08-01,5.0,248000
11260,"Anchorage, AK",2017-02-01,7.3,275000
21820,"Fairbanks, AK",2019-01-01,6.9,218000
11260,"Anchorage, AK",2020-01-01,6.7,285000
21820,"Fairbanks, AK",2020-02-01,4.7,199000
19460,"Decatur, AL",2012-08-01,3.6,114000
10760,"Alexander City, AL",2012-10-01,3.5,105000
19460,"Decatur, AL",2012-10-01,3.2,127000
11500,"Anniston, AL",2012-11-01,6.8,90000
10700,"Albertville, AL",2013-02-01,5.8,76000
45180,"Talladega, AL",2013-04-01,5.1,127000
23460,"Gadsden, AL",2014-01-01,5.7,91000
26620,"Huntsville, AL",2014-01-01,6.5,147000
45180,"Talladega, AL",2014-05-01,5.8,142000
11500,"Anniston, AL",2014-06-01,4.5,112000
26620,"Huntsville, AL",2014-09-01,4.3,165000
26620,"Huntsville, AL",2015-02-01,4.9,163000
45180,"Talladega, AL",2015-03-01,5.9,124000
26620,"Huntsville, AL",2015-05-01,3.9,166000
45180,"Talladega, AL",2015-06-01,5.4,116000
22840,"Fort Payne, AL",2015-09-01,5.8,113000
