zillow_id,cbsa_id,cbsa_name
394692,26420,Houston-The Woodlands-Sugar Land
394699,26660,Huntsville
394717,27380,Jacksonville
394742,28500,Kerrville
394746,28660,Killeen-Temple
394749,28780,Kingsville
394767,29500,Lamesa
394772,29700,Laredo
394784,30220,Levelland
394803,30980,Longview
394808,31180,Lubbock
394809,31260,Lufkin
394832,32220,Marshall
394843,32580,McAllen-Edinburg-Mission
394860,33260,Midland
394864,33420,Mineral Wells
394886,34420,Mount Pleasant
394899,34860,Nacogdoches
394930,36220,Odessa
394956,37300,Palestine
394959,37420,Pampa
394963,37580,Paris
394968,37780,Pecos
394984,38380,Plainview
753914,38920,Port Lavaca
395014,39700,Raymondville
395024,40100,Rio Grande City
395054,41660,San Angelo
395055,41700,San Antonio-New Braunfels
395094,43300,Sherman-Denison
395104,43660,Snyder
395129,44500,Stephenville
395137,44860,Sulphur Springs
395142,45020,Sweetwater
395152,45500,Texarkana
395174,46340,Tyler
395181,46620,Uvalde
395188,46900,Vernon
395190,47020,Victoria
395197,47380,Waco
395223,48660,Wichita Falls
753929,49820,Zapata
394446,16260,Cedar City
394674,25720,Heber
394800,30860,Logan
394931,36260,Ogden-Clearfield
395003,39220,Price
395006,39340,Provo-Orem
395053,41620,Salt Lake City
395119,41100,St. George
753922,44920,Summit Park
395187,46860,Vernal
753866,13720,Big Stone Gap
394392,13980,Blacksburg-Christiansburg-Radford
394459,16820,Charlottesville
394518,19260,Danville
394668,25500,Harrisonburg
394811,31340,Lynchburg
394836,32300,Martinsville
395022,40060,Richmond
395028,40220,Roanoke
395128,44420,Staunton-Waynesboro
395194,47260,Virginia Beach-Norfolk-Newport News
395232,49020,Winchester
394362,12740,Barre
394382,13540,Bennington
394429,15540,Burlington-South Burlington
395044,40860,Rutland
394298,10140,Aberdeen
394378,13380,Bellingham
394412,14740,Bremerton-Silverdale
394452,16500,Centralia
394567,21260,Ellensburg
394741,28420,Kennewick-Richland
394804,31020,Longview
394882,34180,Moses Lake
394890,34580,Mount Vernon-Anacortes
394925,36020,Oak Harbor
394937,36500,Olympia-Tumwater
753908,36830,Othello
394994,38820,Port Angeles
395008,39420,Pullman
395078,42660,Seattle-Tacoma-Bellevue
395092,43220,Shelton
395113,44060,Spokane-Spokane Valley
395199,47460,Walla Walla
395218,48300,Wenatchee
395240,49420,Yakima
394334,11540,Appleton
394360,12660,Baraboo
394373,13180,Beaver Dam
394555,20740,Eau Claire
394599,22540,Fond du Lac
394646,24580,Green Bay
394720,27500,Janesville-Beloit
394756,29100,La Crosse-Onalaska
394816,31540,Madison
394822,31820,Manitowoc
394825,31940,Marinette
394850,32860,Menomonie
394853,32980,Merrill
394862,33340,Milwaukee-Waukesha-West Allis
394944,36780,Oshkosh-Neenah
394985,38420,Platteville
395011,39540,Racine
753918,43020,Shawano
395089,43100,Sheboygan
395132,44620,Stevens Point
395212,48020,Watertown-Fort Atkinson
395215,48140,Wausau
395222,48580,Whitewater-Elkhorn
753928,49220,Wisconsin Rapids-Marshfield
394374,13220,Beckley
394396,14140,Bluefield
394455,16620,Charleston
394469,17220,Clarksburg
753879,21180,Elkins
394582,21900,Fairmont
394697,26580,Huntington-Ashland
753898,30880,Logan
394879,34060,Morgantown
394964,37620,Parkersburg-Vienna
394989,38580,Point Pleasant
395217,48260,Weirton-Steubenville
395221,48540,Wheeling
